student_id,course,cfu,grade,exam_date
100001,Sistemi Operativi,8,19,2025-06-17
100001,Analisi 1,10,26,2024-12-07
100001,Algebra Lineare,12,18,2023-10-24
100001,Fisica 1,12,19,2026-12-23
100002,Algebra Lineare,12,27,2025-03-20
100002,Machine Learning,12,25,2026-08-26
100002,Calcolatori,8,27,2024-12-10
100002,Analisi 2,8,18,2023-01-15
100002,Meccatronica,6,29,2024-10-14
100003,Programmazione 1,8,18,2024-12-10
100003,Calcolatori,9,30,2023-05-10
100003,Sistemi Operativi,12,26,2025-01-04
100003,Algebra Lineare,9,23,2026-12-19
100004,Programmazione 1,10,25,2023-11-05
100004,Analisi 2,10,20,2026-09-11
100004,Fisica 1,10,30,2026-12-02
100004,Sistemi Operativi,12,22,2025-09-18
100004,Machine Learning,6,21,2025-06-03
100005,Algebra Lineare,10,28,2024-10-20
100005,Programmazione 1,10,20,2023-05-23
100005,Calcolatori,9,29,2023-05-14
100006,Basi di Dati,10,22,2024-09-10
100006,Fisica 1,8,19,2025-01-25
100006,Calcolatori,8,19,2026-09-01
100007,Sistemi Operativi,10,29,2025-06-05
100007,Analisi 2,6,26,2024-04-24
100007,Fisica 1,6,25,2026-12-28
100007,Meccatronica,12,19,2023-05-02
100008,Meccatronica,6,26,2025-01-19
100008,Analisi 1,9,28,2024-06-07
100008,Calcolatori,8,22,2025-09-11
100008,Fisica 1,10,28,2023-05-05
100008,Programmazione 1,8,22,2023-01-20
100009,Sistemi Operativi,12,23,2025-03-23
100009,Analisi 1,9,27,2024-03-03
100009,Fisica 1,9,27,2025-09-15
100009,Algebra Lineare,6,20,2023-08-22
100009,Analisi 2,6,19,2026-01-03
100010,Machine Learning,9,22,2025-04-23
100010,Analisi 2,12,19,2026-10-05
100010,Basi di Dati,6,30,2026-02-15
100010,Algebra Lineare,9,28,2026-08-08
100011,Analisi 2,10,20,2025-06-15
100011,Algebra Lineare,10,18,2023-08-04
100011,Calcolatori,9,25,2026-03-10
100012,Meccatronica,6,23,2023-05-18
100012,Analisi 2,10,24,2026-04-20
100012,Analisi 1,8,26,2024-08-13
100012,Fisica 1,6,23,2024-12-19
100013,Machine Learning,6,29,2026-02-19
100013,Calcolatori,12,25,2025-09-04
100013,Fisica 1,10,20,2025-07-03
100013,Analisi 1,12,19,2026-06-16
100014,Programmazione 1,12,30,2023-03-22
100014,Analisi 1,8,25,2025-07-20
100014,Fisica 1,12,25,2024-04-22
100014,Machine Learning,9,22,2025-07-23
100014,Sistemi Operativi,9,19,2023-10-17
100015,Analisi 2,12,18,2023-12-18
100015,Algebra Lineare,9,19,2025-01-08
100015,Programmazione 1,10,29,2026-11-11
100015,Meccatronica,10,24,2026-07-18
100016,Analisi 2,8,26,2026-06-27
100016,Basi di Dati,10,20,2025-11-05
100016,Meccatronica,8,18,2023-11-01
100017,Basi di Dati,6,20,2026-08-26
100017,Machine Learning,12,24,2024-08-17
100017,Analisi 2,10,26,2026-07-12
100018,Analisi 2,12,25,2024-12-17
100018,Machine Learning,9,24,2025-01-02
100018,Programmazione 1,12,25,2025-02-19
100019,Analisi 1,12,19,2023-04-16
100019,Analisi 2,6,28,2025-10-02
100019,Algebra Lineare,9,26,2023-08-15
100019,Fisica 1,12,25,2025-07-12
100020,Algebra Lineare,12,29,2025-12-26
100020,Analisi 2,12,22,2023-11-16
100020,Programmazione 1,12,20,2023-11-10
100020,Calcolatori,12,18,2025-08-03
100021,Sistemi Operativi,9,20,2025-05-28
100021,Analisi 1,9,18,2023-10-06
100021,Algebra Lineare,12,29,2024-11-15
100022,Analisi 2,8,30,2023-06-03
100022,Algebra Lineare,8,27,2024-08-25
100022,Fisica 1,10,30,2026-04-22
100022,Basi di Dati,10,29,2024-04-19
100023,Calcolatori,6,20,2026-07-16
100023,Programmazione 1,9,25,2024-07-22
100023,Algebra Lineare,10,25,2025-03-17
100023,Machine Learning,10,18,2025-08-13
100023,Sistemi Operativi,9,26,2023-02-18
100024,Calcolatori,9,30,2023-05-21
100024,Machine Learning,12,24,2026-11-24
100024,Algebra Lineare,8,29,2024-09-11
100024,Analisi 2,8,23,2023-11-01
100024,Sistemi Operativi,6,18,2026-02-17
100025,Basi di Dati,9,22,2024-01-01
100025,Calcolatori,12,19,2023-10-22
100025,Fisica 1,8,27,2023-12-04
100026,Meccatronica,12,30,2024-02-23
100026,Analisi 2,8,22,2025-08-22
100026,Machine Learning,6,28,2026-05-25
100027,Calcolatori,6,22,2023-07-13
100027,Algebra Lineare,9,18,2025-05-06
100027,Analisi 2,10,19,2026-04-20
100027,Machine Learning,10,20,2026-02-05
100028,Machine Learning,9,19,2023-02-03
100028,Fisica 1,12,29,2025-08-01
100028,Analisi 1,10,20,2023-01-22
100028,Sistemi Operativi,10,22,2024-12-11
100028,Calcolatori,10,27,2023-09-23
100029,Basi di Dati,6,26,2024-01-13
100029,Machine Learning,10,19,2025-06-22
100029,Sistemi Operativi,9,24,2023-11-21
100029,Meccatronica,6,23,2025-02-27
100030,Algebra Lineare,6,24,2024-05-23
100030,Fisica 1,10,19,2025-08-03
100030,Analisi 2,10,29,2024-03-02
100030,Meccatronica,8,18,2024-08-13
100031,Sistemi Operativi,12,30,2026-01-02
100031,Algebra Lineare,9,18,2025-12-02
100031,Basi di Dati,10,19,2024-11-22
100032,Basi di Dati,8,19,2023-12-05
100032,Sistemi Operativi,10,28,2023-08-20
100032,Analisi 2,6,21,2024-01-06
100032,Calcolatori,6,22,2023-08-20
100032,Algebra Lineare,8,27,2023-02-04
100033,Meccatronica,8,24,2025-12-22
100033,Fisica 1,10,23,2023-11-19
100033,Analisi 1,12,20,2025-04-25
100033,Machine Learning,6,27,2024-06-03
100034,Algebra Lineare,8,29,2025-09-06
100034,Analisi 2,10,21,2023-03-04
100034,Machine Learning,12,24,2024-01-16
100035,Programmazione 1,6,29,2025-07-23
100035,Meccatronica,10,29,2024-04-05
100035,Analisi 2,9,26,2026-07-08
100036,Meccatronica,10,27,2023-11-27
100036,Programmazione 1,9,23,2026-01-18
100036,Analisi 2,8,21,2023-09-04
100037,Calcolatori,8,22,2023-04-04
100037,Sistemi Operativi,8,28,2026-08-06
100037,Fisica 1,8,28,2023-01-21
100037,Basi di Dati,9,22,2024-07-09
100037,Meccatronica,9,27,2026-01-04
100038,Programmazione 1,10,26,2023-02-08
100038,Sistemi Operativi,10,27,2025-07-07
100038,Analisi 2,9,21,2023-06-08
100038,Analisi 1,6,21,2026-04-13
100038,Meccatronica,8,19,2026-10-16
100039,Machine Learning,12,25,2024-07-12
100039,Analisi 2,8,25,2024-11-12
100039,Fisica 1,9,21,2025-03-02
100040,Meccatronica,10,25,2026-03-25
100040,Programmazione 1,9,21,2025-10-06
100040,Algebra Lineare,12,20,2024-02-14
100040,Analisi 1,12,25,2024-10-16
100040,Sistemi Operativi,10,22,2023-12-14
100041,Fisica 1,8,27,2024-10-01
100041,Meccatronica,10,18,2023-08-24
100041,Calcolatori,12,18,2026-09-13
100041,Sistemi Operativi,10,30,2023-08-16
100041,Algebra Lineare,8,19,2023-12-24
100042,Fisica 1,8,28,2023-01-16
100042,Analisi 2,9,20,2026-10-24
100042,Calcolatori,12,18,2026-08-25
100042,Sistemi Operativi,8,29,2026-03-26
100043,Basi di Dati,9,26,2023-05-14
100043,Programmazione 1,9,29,2024-11-03
100043,Analisi 1,12,23,2023-09-22
100043,Fisica 1,9,18,2023-07-12
100044,Meccatronica,8,28,2023-09-23
100044,Programmazione 1,8,20,2025-04-18
100044,Calcolatori,6,28,2026-12-25
100044,Analisi 2,12,29,2024-12-25
100045,Calcolatori,12,28,2026-05-02
100045,Meccatronica,6,23,2025-08-16
100045,Algebra Lineare,12,26,2023-08-23
100046,Sistemi Operativi,6,21,2026-02-03
100046,Algebra Lineare,10,20,2025-02-04
100046,Basi di Dati,8,22,2023-12-05
100046,Meccatronica,10,20,2024-09-21
100046,Analisi 2,6,22,2026-11-18
100047,Basi di Dati,10,29,2023-05-07
100047,Calcolatori,6,18,2024-09-21
100047,Machine Learning,9,24,2025-11-21
100048,Basi di Dati,9,27,2024-05-06
100048,Sistemi Operativi,9,21,2026-06-10
100048,Meccatronica,6,20,2025-05-15
100048,Fisica 1,8,27,2024-12-18
100049,Analisi 2,8,19,2023-06-19
100049,Meccatronica,8,25,2025-06-06
100049,Sistemi Operativi,8,26,2023-11-11
100049,Analisi 1,9,20,2025-08-18
100050,Sistemi Operativi,6,24,2026-03-15
100050,Algebra Lineare,9,20,2023-12-18
100050,Analisi 1,12,23,2025-08-10
100051,Analisi 2,10,18,2024-11-18
100051,Basi di Dati,6,22,2023-07-20
100051,Calcolatori,8,25,2025-02-11
100051,Sistemi Operativi,6,27,2024-10-17
100051,Programmazione 1,8,30,2025-04-01
100052,Sistemi Operativi,12,24,2024-08-11
100052,Basi di Dati,12,27,2023-11-12
100052,Analisi 1,10,20,2026-06-13
100053,Programmazione 1,9,25,2023-04-24
100053,Algebra Lineare,10,29,2026-08-10
100053,Calcolatori,8,30,2026-12-14
100053,Analisi 2,8,27,2023-03-07
100054,Basi di Dati,12,30,2026-02-01
100054,Sistemi Operativi,10,28,2025-07-06
100054,Calcolatori,12,25,2024-04-06
100054,Programmazione 1,10,22,2026-01-27
