device_id	reading_time	temp_c	humidity_pct	status
D-GIMRU	2026-01-22T01:14:22	26.39	73.1	FAIL
D-4JDUD	2026-01-27T18:35:20	24.86	59.0	WARN
D-B61G9	2026-01-01T17:34:03	27.96	48.1	OK
D-5F4C6	2026-01-23T17:15:46	28.7	46.6	WARN
D-VZBMP	2026-01-04T23:24:21	27.16	29.8	OK
D-T5JZT	2026-01-15T02:59:50	17.81	34.1	OK
D-6LE9C	2026-01-16T02:06:35	27.74	40.7	OK
D-T5JZT	2026-01-02T03:11:32	28.27	32.2	OK
D-4JDUD	2026-01-29T06:34:39	20.11	52.6	FAIL
D-EOXIR	2026-01-12T08:47:04	20.5	45.5	OK
D-3NGHB	2026-01-14T10:03:08	24.97	50.9	WARN
D-P66ZV	2026-01-29T16:13:36	20.63	70.3	WARN
D-K4U9M	2026-01-18T14:22:05	26.83	42.8	OK
D-48WEG	2026-01-13T05:36:35	23.84	66.2	OK
D-ZVQLQ	2026-01-08T12:14:59	20.62	34.4	OK
D-XVT3O	2026-01-27T17:44:21	27.61	48.1	FAIL
D-PQZDN	2026-01-03T11:51:36	17.15	52.0	OK
D-P66ZV	2026-01-09T05:56:41	27.93	71.9	FAIL
D-P66ZV	2026-01-31T19:17:17	28.71	59.2	FAIL
D-I47C9	2026-01-21T18:46:41	20.59	33.9	FAIL
D-6LE9C	2026-01-25T02:17:27	19.57	73.0	FAIL
D-BCCD4	2026-01-03T13:26:28	17.99	70.1	FAIL
D-VZBMP	2026-01-14T01:38:47	16.53	25.1	FAIL
D-VO06V	2026-01-05T08:28:49	20.79	64.3	OK
D-5F4C6	2026-01-07T23:11:31	21.81	65.7	WARN
D-HJYDA	2026-01-16T13:01:03	19.1	63.2	OK
D-MQ5GL	2026-01-10T19:00:59	25.46	58.5	WARN
D-6LE9C	2026-01-13T00:32:31	20.67	58.8	WARN
D-MQ5GL	2026-01-16T03:50:51	17.83	48.9	OK
D-J9X2H	2026-01-14T03:52:37	16.83	44.5	OK
D-6LE9C	2026-01-12T22:41:23	18.86	73.7	OK
D-MQ5GL	2026-01-26T14:14:39	24.38	53.9	OK
D-F7WO9	2026-01-07T23:40:56	23.3	60.8	OK
D-BCCD4	2026-01-10T03:43:39	25.23	63.0	OK
D-5F4C6	2026-01-05T23:18:57	25.97	58.7	WARN
D-MQ5GL	2026-01-19T16:04:55	16.68	38.5	OK
D-K5GYI	2026-01-25T11:54:20	27.41	41.1	OK
D-T5JZT	2026-01-15T15:06:43	19.5	60.9	WARN
D-K5GYI	2026-01-09T18:34:14	25.48	59.7	OK
D-MQ5GL	2026-01-11T19:15:08	22.6	55.4	OK
D-ZVQLQ	2026-01-08T16:29:10	25.58	28.7	FAIL
D-0VEA3	2026-01-21T04:05:50	22.8	78.7	WARN
D-48WEG	2026-01-23T05:14:30	26.96	50.0	WARN
D-VZBMP	2026-01-23T03:26:30	21.28	44.6	OK
D-VZBMP	2026-01-30T23:24:58	28.4	36.4	FAIL
D-HC0DJ	2026-01-30T18:38:24	20.63	72.3	OK
D-3CJOP	2026-01-18T09:21:57	26.8	64.7	OK
D-HJYDA	2026-01-03T10:51:44	17.96	59.3	FAIL
D-VZBMP	2026-01-19T00:47:12	18.88	70.2	FAIL
D-BCCD4	2026-01-07T13:37:44	18.69	38.7	OK
D-3CJOP	2026-01-18T17:30:58	25.5	79.1	OK
D-EOXIR	2026-01-26T05:52:08	20.41	66.1	OK
D-F7WO9	2026-01-02T02:36:29	18.01	38.8	WARN
D-96IRX	2026-01-21T12:20:54	16.2	49.2	OK
D-VZBMP	2026-01-31T16:36:55	29.99	66.0	OK
D-5F4C6	2026-01-25T14:45:00	22.69	33.6	WARN
D-5F4C6	2026-01-28T07:20:41	29.78	65.4	OK
D-I47C9	2026-01-07T14:13:47	22.34	73.3	FAIL
D-F7WO9	2026-01-13T02:23:42	16.76	57.1	OK
D-B61G9	2026-01-28T12:21:10	20.58	51.3	OK
D-4JDUD	2026-01-09T03:25:05	25.33	33.7	OK
D-T5JZT	2026-01-31T02:21:25	18.89	50.4	OK
D-3NGHB	2026-01-19T04:01:14	23.65	54.5	FAIL
D-P66ZV	2026-01-28T03:40:39	24.44	29.7	FAIL
D-5F4C6	2026-01-30T06:57:14	21.02	29.5	OK
D-BCCD4	2026-01-29T06:31:07	16.94	63.9	FAIL
D-VO06V	2026-01-16T05:19:56	27.71	46.6	OK
D-5F4C6	2026-01-21T23:58:03	19.52	42.7	OK
D-XVT3O	2026-01-29T08:37:03	16.08	39.2	OK
D-3NGHB	2026-01-15T17:12:21	28.22	78.8	FAIL
D-6LE9C	2026-01-25T01:19:00	23.54	43.2	WARN
D-HJYDA	2026-01-01T10:52:35	27.02	52.6	WARN
D-P66ZV	2026-01-24T16:38:24	24.39	44.1	OK
D-HC0DJ	2026-01-15T14:59:40	21.26	76.6	FAIL
D-I47C9	2026-01-12T02:14:00	21.93	32.9	OK
D-HJYDA	2026-01-03T03:48:03	26.4	74.9	OK
D-K5GYI	2026-01-16T00:41:43	25.32	50.4	OK
D-XVT3O	2026-01-31T20:06:53	22.93	39.8	WARN
D-K5GYI	2026-01-13T01:09:44	17.48	30.4	OK
D-J9X2H	2026-01-24T15:46:38	24.22	32.0	OK
D-6LE9C	2026-01-14T00:28:09	20.9	42.8	OK
D-48WEG	2026-01-17T18:18:59	20.04	34.9	FAIL
D-UGZ40	2026-01-10T18:26:12	28.17	66.8	WARN
D-48WEG	2026-01-25T09:00:57	20.74	30.0	OK
D-I47C9	2026-01-03T12:51:05	21.92	73.6	FAIL
D-K4U9M	2026-01-25T15:58:05	16.98	44.7	WARN
D-HC0DJ	2026-01-16T18:46:13	21.11	47.9	WARN
D-MQ5GL	2026-01-21T10:55:45	21.8	79.2	OK
D-K5GYI	2026-01-28T11:03:25	19.35	76.4	OK
D-6LE9C	2026-01-13T04:18:04	21.7	25.8	FAIL
D-HJYDA	2026-01-18T23:39:32	20.39	63.3	OK
D-PQZDN	2026-01-04T11:35:46	19.07	57.3	WARN
D-3CJOP	2026-01-10T02:17:48	17.84	74.8	OK
D-T5JZT	2026-01-08T05:07:14	21.22	58.4	OK
D-VW8SJ	2026-01-07T05:53:56	17.14	33.0	WARN
D-HJYDA	2026-01-28T13:11:42	22.31	65.6	OK
D-FBQON	2026-01-19T19:51:28	24.12	55.4	FAIL
D-48WEG	2026-01-28T17:20:34	26.55	52.9	FAIL
D-B61G9	2026-01-10T14:54:58	17.19	48.4	OK
D-K5GYI	2026-01-17T20:52:19	18.27	59.5	OK
D-UGZ40	2026-01-10T22:41:09	21.44	73.1	OK
D-3NGHB	2026-01-17T20:55:07	27.39	65.2	WARN
D-VO06V	2026-01-07T11:07:39	19.29	76.8	OK
D-48WEG	2026-01-14T16:02:59	21.68	75.4	OK
D-HC0DJ	2026-01-24T16:23:42	21.47	78.5	FAIL
D-MQ5GL	2026-01-28T16:52:35	27.56	72.4	OK
D-F7WO9	2026-01-01T19:46:56	27.72	45.0	OK
D-0VEA3	2026-01-19T20:24:35	16.06	68.3	OK
D-3CJOP	2026-01-01T14:03:48	21.79	44.2	WARN
D-3CJOP	2026-01-18T03:01:29	22.86	45.6	FAIL
D-ZVQLQ	2026-01-15T01:05:43	18.33	58.4	OK
D-GIMRU	2026-01-04T03:35:43	16.03	41.4	OK
D-XVT3O	2026-01-02T17:10:04	19.04	65.9	WARN
D-3CJOP	2026-01-01T21:30:52	19.05	32.0	FAIL
D-3NGHB	2026-01-22T13:52:02	20.26	63.2	WARN
D-3CJOP	2026-01-16T18:30:33	17.78	64.9	OK
D-XVT3O	2026-01-21T01:21:49	17.13	55.6	OK
D-J9X2H	2026-01-12T18:55:23	27.69	54.7	WARN
D-PQZDN	2026-01-29T06:53:05	20.61	61.6	WARN
D-96IRX	2026-01-04T06:11:08	23.87	36.0	OK
D-UGZ40	2026-01-05T23:58:27	17.31	76.2	FAIL
D-P66ZV	2026-01-04T19:34:40	22.53	68.7	OK
